zipcode,population
66502,131550
32738,131490
7307,131436
61554,131430
92688,131376
36116,131370
33155,131364
31061,131265
44691,131259
7960,131241
62040,131205
92122,131184
93446,131142
78233,131130
94116,131094
98042,131019
46350,130950
29464,130947
10021,130893
46360,130875
33196,130860
92223,130815
11374,130800
2703,130779
87112,130752
89502,130698
93313,130659
44212,130644
63116,130620
2909,130620
33162,130617
79109,130548
90242,130491
57701,130386
33615,130359
71913,130308
24502,130278
74133,130242
92584,130200
12601,130194
39401,130098
63368,130080
30134,130068
8360,130065
11520,130023
19144,129987
77396,129951
662,129846
55125,129843
84062,129807
92102,129801
55112,129750
55104,129744
18104,129708
85029,129699
29501,129660
27606,129630
70816,129582
33055,129582
48183,129546
90501,129540
98387,129519
52001,129519
19131,129516
94928,129510
23669,129444
53081,129387
60201,129375
30034,129339
22015,129306
2740,129261
91789,129237
38016,129237
89131,129216
623,129183
85746,129171
70301,129111
20774,129039
7601,129030
26003,129006
63033,129000
23234,128967
95136,128967
13440,128958
78640,128862
48843,128793
60707,128760
23608,128751
60540,128730
92078,128718
93010,128703
10019,128610
33324,128541
29651,128532
37918,128505
685,128493
78744,128460
16801,128436
12603,128430
73072,128391
85224,128388
11756,128373
2135,128340
48310,128298
76119,128283
37066,128274
95307,128259
60660,128256
98118,128193
78043,128139
92802,128127
80022,128097
54956,128088
28546,128088
27613,128070
30076,128034
95336,128025
60188,127968
17543,127878
20772,127875
34668,127857
92019,127794
80127,127791
94560,127719
14609,127713
8234,127596
7726,127524
42240,127437
78526,127380
42301,127320
92058,127308
78541,127293
91360,127206
92395,127200
90241,127197
90806,127197
84003,127152
77581,127149
49009,127086
53204,127065
8724,127056
95822,127041
48111,126939
27616,126882
54703,126816
28210,126789
11365,126756
21043,126738
46032,126702
11743,126690
10465,126690
75028,126678
969,126657
94546,126627
27604,126612
43232,126603
10304,126579
27615,126498
21221,126462
90025,126441
99205,126411
27529,126384
97501,126351
78704,126351
39759,126324
43204,126312
78040,126249
50613,126093
70560,126066
32708,126036
77055,125967
7036,125910
659,125859
38134,125844
98058,125814
27703,125811
14075,125811
60103,125784
10040,125715
33436,125688
15237,125685
75220,125673
35758,125625
32907,125610
8054,125592
54915,125565
90275,125412
11228,125364
698,125346
12065,125328
32712,125307
19401,125259
10305,125247
38111,125226
98661,125220
33433,125166
30097,125145
21044,125112
84121,125106
93036,125073
93455,125052
14150,125028
60047,125007
30506,125001
47201,124986
54935,124953
55117,124947
